clip,gap_length,condition,dyad,turn_num,turn_start_msec,video_num,laughter,,
171_2565_42_41.mov,2565,strangers,42_41,53,165795,171,no,,
172_2914_42_41.mov,2914,strangers,42_41,116,320297,172,yes,,
173_2666_11_5.mov,2666,strangers,11_5,12,30154,173,yes,,
174_3330_89_85.mov,3330,strangers,89_85,145,549771,174,yes,,
175_3420_105_110.mov,3420,strangers,105_110,163,524791,175,yes,,
176_2160_27_24.mov,2160,strangers,27_24,65,206728,176,no,,
177_2090_47_49.mov,2090,strangers,47_49,41,361482,177,no,,
178_2781_89_81.mov,2781,strangers,89_81,114,315425,178,no,,
179_2065_104_105.mov,2065,strangers,104_105,42,115512,179,no,,
180_2928_104_105.mov,2928,strangers,104_105,79,269806,180,no,,
181_2244_101_108.mov,2244,strangers,101_108,51,147809,181,yes,,
182_2033_64_69.mov,2033,strangers,64_69,105,395581,182,no,,
183_2197_42_45.mov,2197,strangers,42_45,31,178147,183,no,,
184_2525_42_45.mov,2525,strangers,42_45,83,471584,184,no,,
185_2075_42_44.mov,2075,strangers,42_44,42,152065,185,no,,
186_2419_9_6.mov,2419,strangers,9_6,74,311137,186,yes,,
187_3120_9_6.mov,3120,strangers,9_6,88,464789,187,no,,
188_2357_63_61.mov,2357,strangers,63_61,56,248961,188,no,,
189_2211_7_9.mov,2211,strangers,7_9,21,60762,189,yes,,
190_2356_7_9.mov,2356,strangers,7_9,63,180375,190,yes,,
191_2747_7_9.mov,2747,strangers,7_9,76,242676,191,yes,,
192_2107_89_80.mov,2107,strangers,89_80,42,150996,192,no,,
193_2580_89_80.mov,2580,strangers,89_80,94,373646,193,no,,
194_2077_40_41.mov,2077,strangers,40_41,11,17975,194,no,,
195_2110_40_41.mov,2110,strangers,40_41,92,363497,195,no,,
196_3139_40_41.mov,3139,strangers,40_41,104,412995,196,no,,
197_2247_40_41.mov,2247,strangers,40_41,115,446057,197,no,,
198_3781_61_70.mov,3781,strangers,61_70,68,352690,198,no,,
199_2426_105_103.mov,2426,strangers,105_103,6,15220,199,yes,,
200_2085_105_103.mov,2085,strangers,105_103,92,301298,200,yes,,
201_3057_105_103.mov,3057,strangers,105_103,113,367335,201,no,,
202_2393_105_103.mov,2393,strangers,105_103,119,394709,202,yes,,
203_2741_105_103.mov,2741,strangers,105_103,137,485316,203,no,,
204_3937_105_103.mov,3937,strangers,105_103,140,496252,204,no,,
205_2278_63_62.mov,2278,strangers,63_62,94,490668,205,no,,
206_2507_11_3.mov,2507,strangers,11_3,164,523793,206,no,,
207_3243_3_10.mov,3243,strangers,3_10,34,103819,207,no,,
208_2172_3_10.mov,2172,strangers,3_10,36,117121,208,yes,,
209_2305_105_102.mov,2305,strangers,105_102,82,223290,209,no,,
210_2246_105_102.mov,2246,strangers,105_102,94,283426,210,no,,
211_2159_105_102.mov,2159,strangers,105_102,106,313190,211,no,,
212_3410_65_64.mov,3410,strangers,65_64,17,26742,212,no,,
213_2172_65_64.mov,2172,strangers,65_64,43,140959,213,no,,
214_2192_43_48.mov,2192,strangers,43_48,18,35252,214,no,,
215_2192_43_48.mov,2192,strangers,43_48,114,528911,215,no,,
216_2265_106_104.mov,2265,strangers,106_104,111,386386,216,yes,,
217_2265_103_109.mov,2265,strangers,103_109,19,37758,217,no,,
218_3968_10_7.mov,3968,strangers,10_7,21,29024,218,yes,,
219_2115_10_7.mov,2115,strangers,10_7,43,84191,219,no,,
220_2149_10_7.mov,2149,strangers,10_7,68,180488,220,yes,,
221_4034_46_47.mov,4034,strangers,46_47,34,163971,221,no,,
222_2008_46_47.mov,2008,strangers,46_47,49,536458,222,no,,
223_2009_21_22.mov,2009,strangers,21_22,18,47335,223,no,,
224_3476_21_22.mov,3476,strangers,21_22,113,355639,224,yes,,
225_4090_65_66.mov,4090,strangers,65_66,109,477610,225,yes,,
226_2529_23_27.mov,2529,strangers,23_27,59,320972,226,yes,,
227_3119_65_62.mov,3119,strangers,65_62,28,75063,227,yes,,
228_2229_65_62.mov,2229,strangers,65_62,130,397389,228,no,,
229_2249_65_62.mov,2249,strangers,65_62,153,476513,229,yes,,
230_4418_65_62.mov,4418,strangers,65_62,174,543821,230,yes,,
231_2463_69_62.mov,2463,strangers,69_62,66,236241,231,no,,
