convo,subID,partnerID,n_total,condition,n_long_500,freq_long_500,n_long_750,freq_long_750,n_long_1000,freq_long_1000,n_long_1250,freq_long_1250,n_long_1500,freq_long_1500,n_long_1750,freq_long_1750,n_long_2000,freq_long_2000,n_long_2250,freq_long_2250,n_long_2500,freq_long_2500,n_long_2750,freq_long_2750,n_long_3000,freq_long_3000
60_62,60,62,148.0,strangers_pure,41.0,0.27702702702702703,25.0,0.16891891891891891,12.0,0.08108108108108109,9.0,0.060810810810810814,5.0,0.033783783783783786,4.0,0.02702702702702703,3.0,0.02027027027027027,1.0,0.006756756756756757,1.0,0.006756756756756757,1.0,0.006756756756756757,1.0,0.006756756756756757
60_62,62,60,148.0,strangers_pure,41.0,0.27702702702702703,25.0,0.16891891891891891,12.0,0.08108108108108109,9.0,0.060810810810810814,5.0,0.033783783783783786,4.0,0.02702702702702703,3.0,0.02027027027027027,1.0,0.006756756756756757,1.0,0.006756756756756757,1.0,0.006756756756756757,1.0,0.006756756756756757
26_23,26,23,117.0,strangers_pure,26.0,0.2222222222222222,10.0,0.08547008547008547,4.0,0.03418803418803419,2.0,0.017094017094017096,2.0,0.017094017094017096,2.0,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_23,23,26,117.0,strangers_pure,26.0,0.2222222222222222,10.0,0.08547008547008547,4.0,0.03418803418803419,2.0,0.017094017094017096,2.0,0.017094017094017096,2.0,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28_26,28,26,90.0,strangers_pure,22.0,0.24444444444444444,10.0,0.1111111111111111,4.0,0.044444444444444446,4.0,0.044444444444444446,2.0,0.022222222222222223,1.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28_26,26,28,90.0,strangers_pure,22.0,0.24444444444444444,10.0,0.1111111111111111,4.0,0.044444444444444446,4.0,0.044444444444444446,2.0,0.022222222222222223,1.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_86,88,86,156.0,strangers_pure,37.0,0.23717948717948717,21.0,0.1346153846153846,12.0,0.07692307692307693,5.0,0.03205128205128205,4.0,0.02564102564102564,2.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_86,86,88,156.0,strangers_pure,37.0,0.23717948717948717,21.0,0.1346153846153846,12.0,0.07692307692307693,5.0,0.03205128205128205,4.0,0.02564102564102564,2.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_87,88,87,128.0,strangers_pure,21.0,0.1640625,12.0,0.09375,8.0,0.0625,6.0,0.046875,3.0,0.0234375,2.0,0.015625,2.0,0.015625,2.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0
88_87,87,88,128.0,strangers_pure,21.0,0.1640625,12.0,0.09375,8.0,0.0625,6.0,0.046875,3.0,0.0234375,2.0,0.015625,2.0,0.015625,2.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0
70_66,70,66,133.0,strangers_pure,33.0,0.24812030075187969,10.0,0.07518796992481203,4.0,0.03007518796992481,4.0,0.03007518796992481,3.0,0.022556390977443608,1.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_66,66,70,133.0,strangers_pure,33.0,0.24812030075187969,10.0,0.07518796992481203,4.0,0.03007518796992481,4.0,0.03007518796992481,3.0,0.022556390977443608,1.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41_46,41,46,138.0,strangers_pure,48.0,0.34782608695652173,27.0,0.1956521739130435,17.0,0.12318840579710146,9.0,0.06521739130434782,4.0,0.028985507246376812,2.0,0.014492753623188406,2.0,0.014492753623188406,1.0,0.007246376811594203,1.0,0.007246376811594203,1.0,0.007246376811594203,1.0,0.007246376811594203
41_46,46,41,138.0,strangers_pure,48.0,0.34782608695652173,27.0,0.1956521739130435,17.0,0.12318840579710146,9.0,0.06521739130434782,4.0,0.028985507246376812,2.0,0.014492753623188406,2.0,0.014492753623188406,1.0,0.007246376811594203,1.0,0.007246376811594203,1.0,0.007246376811594203,1.0,0.007246376811594203
60_63,60,63,109.0,strangers_pure,17.0,0.1559633027522936,10.0,0.09174311926605505,6.0,0.05504587155963303,3.0,0.027522935779816515,2.0,0.01834862385321101,2.0,0.01834862385321101,2.0,0.01834862385321101,1.0,0.009174311926605505,1.0,0.009174311926605505,0.0,0.0,0.0,0.0
60_63,63,60,109.0,strangers_pure,17.0,0.1559633027522936,10.0,0.09174311926605505,6.0,0.05504587155963303,3.0,0.027522935779816515,2.0,0.01834862385321101,2.0,0.01834862385321101,2.0,0.01834862385321101,1.0,0.009174311926605505,1.0,0.009174311926605505,0.0,0.0,0.0,0.0
102_106,102,106,184.0,strangers_pure,74.0,0.40217391304347827,44.0,0.2391304347826087,22.0,0.11956521739130435,16.0,0.08695652173913043,13.0,0.07065217391304347,11.0,0.059782608695652176,8.0,0.043478260869565216,5.0,0.02717391304347826,3.0,0.016304347826086956,2.0,0.010869565217391304,2.0,0.010869565217391304
102_106,106,102,184.0,strangers_pure,74.0,0.40217391304347827,44.0,0.2391304347826087,22.0,0.11956521739130435,16.0,0.08695652173913043,13.0,0.07065217391304347,11.0,0.059782608695652176,8.0,0.043478260869565216,5.0,0.02717391304347826,3.0,0.016304347826086956,2.0,0.010869565217391304,2.0,0.010869565217391304
8_9,8,9,158.0,strangers_pure,26.0,0.16455696202531644,9.0,0.056962025316455694,3.0,0.0189873417721519,3.0,0.0189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_9,9,8,158.0,strangers_pure,26.0,0.16455696202531644,9.0,0.056962025316455694,3.0,0.0189873417721519,3.0,0.0189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_107,103,107,135.0,strangers_pure,10.0,0.07407407407407407,4.0,0.02962962962962963,1.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_107,107,103,135.0,strangers_pure,10.0,0.07407407407407407,4.0,0.02962962962962963,1.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84_83,84,83,132.0,strangers_pure,30.0,0.22727272727272727,10.0,0.07575757575757576,1.0,0.007575757575757576,1.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84_83,83,84,132.0,strangers_pure,30.0,0.22727272727272727,10.0,0.07575757575757576,1.0,0.007575757575757576,1.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24_23,24,23,112.0,strangers_pure,26.0,0.23214285714285715,11.0,0.09821428571428571,5.0,0.044642857142857144,3.0,0.026785714285714284,2.0,0.017857142857142856,2.0,0.017857142857142856,1.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24_23,23,24,112.0,strangers_pure,26.0,0.23214285714285715,11.0,0.09821428571428571,5.0,0.044642857142857144,3.0,0.026785714285714284,2.0,0.017857142857142856,2.0,0.017857142857142856,1.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_83,88,83,84.0,strangers_pure,17.0,0.20238095238095238,8.0,0.09523809523809523,3.0,0.03571428571428571,1.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_83,83,88,84.0,strangers_pure,17.0,0.20238095238095238,8.0,0.09523809523809523,3.0,0.03571428571428571,1.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_62,70,62,115.0,strangers_pure,33.0,0.28695652173913044,18.0,0.1565217391304348,14.0,0.12173913043478261,9.0,0.0782608695652174,4.0,0.034782608695652174,3.0,0.02608695652173913,3.0,0.02608695652173913,2.0,0.017391304347826087,1.0,0.008695652173913044,1.0,0.008695652173913044,0.0,0.0
70_62,62,70,115.0,strangers_pure,33.0,0.28695652173913044,18.0,0.1565217391304348,14.0,0.12173913043478261,9.0,0.0782608695652174,4.0,0.034782608695652174,3.0,0.02608695652173913,3.0,0.02608695652173913,2.0,0.017391304347826087,1.0,0.008695652173913044,1.0,0.008695652173913044,0.0,0.0
86_87,86,87,152.0,strangers_pure,29.0,0.19078947368421054,14.0,0.09210526315789473,8.0,0.05263157894736842,3.0,0.019736842105263157,2.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86_87,87,86,152.0,strangers_pure,29.0,0.19078947368421054,14.0,0.09210526315789473,8.0,0.05263157894736842,3.0,0.019736842105263157,2.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41_43,41,43,239.0,strangers_pure,63.0,0.26359832635983266,32.0,0.13389121338912133,18.0,0.07531380753138076,8.0,0.03347280334728033,2.0,0.008368200836820083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41_43,43,41,239.0,strangers_pure,63.0,0.26359832635983266,32.0,0.13389121338912133,18.0,0.07531380753138076,8.0,0.03347280334728033,2.0,0.008368200836820083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_27,26,27,160.0,strangers_pure,66.0,0.4125,39.0,0.24375,22.0,0.1375,15.0,0.09375,7.0,0.04375,6.0,0.0375,5.0,0.03125,2.0,0.0125,1.0,0.00625,1.0,0.00625,1.0,0.00625
26_27,27,26,160.0,strangers_pure,66.0,0.4125,39.0,0.24375,22.0,0.1375,15.0,0.09375,7.0,0.04375,6.0,0.0375,5.0,0.03125,2.0,0.0125,1.0,0.00625,1.0,0.00625,1.0,0.00625
60_66,60,66,125.0,strangers_pure,36.0,0.288,17.0,0.136,9.0,0.072,7.0,0.056,3.0,0.024,2.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60_66,66,60,125.0,strangers_pure,36.0,0.288,17.0,0.136,9.0,0.072,7.0,0.056,3.0,0.024,2.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28_22,28,22,127.0,strangers_pure,30.0,0.23622047244094488,18.0,0.14173228346456693,10.0,0.07874015748031496,6.0,0.047244094488188976,4.0,0.031496062992125984,1.0,0.007874015748031496,1.0,0.007874015748031496,1.0,0.007874015748031496,1.0,0.007874015748031496,0.0,0.0,0.0,0.0
28_22,22,28,127.0,strangers_pure,30.0,0.23622047244094488,18.0,0.14173228346456693,10.0,0.07874015748031496,6.0,0.047244094488188976,4.0,0.031496062992125984,1.0,0.007874015748031496,1.0,0.007874015748031496,1.0,0.007874015748031496,1.0,0.007874015748031496,0.0,0.0,0.0,0.0
43_46,43,46,131.0,strangers_pure,59.0,0.45038167938931295,28.0,0.21374045801526717,12.0,0.0916030534351145,9.0,0.06870229007633588,3.0,0.022900763358778626,3.0,0.022900763358778626,2.0,0.015267175572519083,1.0,0.007633587786259542,1.0,0.007633587786259542,1.0,0.007633587786259542,0.0,0.0
43_46,46,43,131.0,strangers_pure,59.0,0.45038167938931295,28.0,0.21374045801526717,12.0,0.0916030534351145,9.0,0.06870229007633588,3.0,0.022900763358778626,3.0,0.022900763358778626,2.0,0.015267175572519083,1.0,0.007633587786259542,1.0,0.007633587786259542,1.0,0.007633587786259542,0.0,0.0
24_22,24,22,124.0,strangers_pure,31.0,0.25,10.0,0.08064516129032258,1.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24_22,22,24,124.0,strangers_pure,31.0,0.25,10.0,0.08064516129032258,1.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_103,102,103,178.0,strangers_pure,49.0,0.2752808988764045,33.0,0.1853932584269663,18.0,0.10112359550561797,14.0,0.07865168539325842,8.0,0.0449438202247191,5.0,0.028089887640449437,5.0,0.028089887640449437,2.0,0.011235955056179775,2.0,0.011235955056179775,1.0,0.0056179775280898875,0.0,0.0
102_103,103,102,178.0,strangers_pure,49.0,0.2752808988764045,33.0,0.1853932584269663,18.0,0.10112359550561797,14.0,0.07865168539325842,8.0,0.0449438202247191,5.0,0.028089887640449437,5.0,0.028089887640449437,2.0,0.011235955056179775,2.0,0.011235955056179775,1.0,0.0056179775280898875,0.0,0.0
6_3,6,3,126.0,strangers_pure,41.0,0.3253968253968254,17.0,0.1349206349206349,14.0,0.1111111111111111,10.0,0.07936507936507936,6.0,0.047619047619047616,4.0,0.031746031746031744,3.0,0.023809523809523808,3.0,0.023809523809523808,1.0,0.007936507936507936,1.0,0.007936507936507936,0.0,0.0
6_3,3,6,126.0,strangers_pure,41.0,0.3253968253968254,17.0,0.1349206349206349,14.0,0.1111111111111111,10.0,0.07936507936507936,6.0,0.047619047619047616,4.0,0.031746031746031744,3.0,0.023809523809523808,3.0,0.023809523809523808,1.0,0.007936507936507936,1.0,0.007936507936507936,0.0,0.0
84_82,84,82,153.0,strangers_pure,37.0,0.24183006535947713,13.0,0.08496732026143791,2.0,0.013071895424836602,1.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84_82,82,84,153.0,strangers_pure,37.0,0.24183006535947713,13.0,0.08496732026143791,2.0,0.013071895424836602,1.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_110,103,110,265.0,strangers_pure,75.0,0.2830188679245283,42.0,0.15849056603773584,17.0,0.06415094339622641,8.0,0.03018867924528302,6.0,0.022641509433962263,5.0,0.018867924528301886,5.0,0.018867924528301886,2.0,0.007547169811320755,1.0,0.0037735849056603774,0.0,0.0,0.0,0.0
103_110,110,103,265.0,strangers_pure,75.0,0.2830188679245283,42.0,0.15849056603773584,17.0,0.06415094339622641,8.0,0.03018867924528302,6.0,0.022641509433962263,5.0,0.018867924528301886,5.0,0.018867924528301886,2.0,0.007547169811320755,1.0,0.0037735849056603774,0.0,0.0,0.0,0.0
24_20,24,20,173.0,strangers_pure,31.0,0.1791907514450867,7.0,0.04046242774566474,1.0,0.005780346820809248,1.0,0.005780346820809248,1.0,0.005780346820809248,1.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24_20,20,24,173.0,strangers_pure,31.0,0.1791907514450867,7.0,0.04046242774566474,1.0,0.005780346820809248,1.0,0.005780346820809248,1.0,0.005780346820809248,1.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65_68,65,68,132.0,strangers_pure,28.0,0.21212121212121213,16.0,0.12121212121212122,12.0,0.09090909090909091,9.0,0.06818181818181818,6.0,0.045454545454545456,2.0,0.015151515151515152,2.0,0.015151515151515152,2.0,0.015151515151515152,2.0,0.015151515151515152,2.0,0.015151515151515152,0.0,0.0
