subID,partnerID,dyad,timepoint,connection,connection_change,gap_length,speaker,turn_num
60.0,62.0,60_62,long_gap,38.96774193548387,0.0,3082.0,self,63.0
62.0,60.0,60_62,1_before,50.0,0.0,3082.0,other,63.0
60.0,62.0,60_62,1_before,40.0,1.0322580645161281,3082.0,self,63.0
62.0,60.0,60_62,2_before,50.0,0.0,3082.0,other,63.0
60.0,62.0,60_62,2_before,40.0,1.0322580645161281,3082.0,self,63.0
62.0,60.0,60_62,3_before,50.0,0.0,3082.0,other,63.0
60.0,62.0,60_62,3_before,40.0,1.0322580645161281,3082.0,self,63.0
62.0,60.0,60_62,1_after,50.0,0.0,3082.0,other,63.0
60.0,62.0,60_62,1_after,35.0,-3.967741935483872,3082.0,self,63.0
62.0,60.0,60_62,2_after,50.0,0.0,3082.0,other,63.0
60.0,62.0,60_62,2_after,35.0,-3.967741935483872,3082.0,self,63.0
62.0,60.0,60_62,3_after,50.0,0.0,3082.0,other,63.0
60.0,62.0,60_62,3_after,35.0,-3.967741935483872,3082.0,self,63.0
62.0,60.0,60_62,long_gap,57.0,0.0,2133.0,self,106.0
60.0,62.0,60_62,long_gap,81.0,0.0,2133.0,other,106.0
62.0,60.0,60_62,1_before,57.0,0.0,2133.0,self,106.0
60.0,62.0,60_62,1_before,81.05,0.04999999999999716,2133.0,other,106.0
62.0,60.0,60_62,2_before,57.0,0.0,2133.0,self,106.0
60.0,62.0,60_62,2_before,82.0,1.0,2133.0,other,106.0
62.0,60.0,60_62,3_before,57.0,0.0,2133.0,self,106.0
60.0,62.0,60_62,3_before,82.0,1.0,2133.0,other,106.0
62.0,60.0,60_62,1_after,57.0,0.0,2133.0,self,106.0
60.0,62.0,60_62,1_after,81.0,0.0,2133.0,other,106.0
62.0,60.0,60_62,2_after,57.0,0.0,2133.0,self,106.0
60.0,62.0,60_62,2_after,81.0,0.0,2133.0,other,106.0
62.0,60.0,60_62,3_after,57.0,0.0,2133.0,self,106.0
60.0,62.0,60_62,3_after,81.0,0.0,2133.0,other,106.0
87.0,88.0,88_87,long_gap,90.0,0.0,2415.0,self,46.0
88.0,87.0,88_87,long_gap,89.0,0.0,2415.0,other,46.0
87.0,88.0,88_87,1_before,90.0,0.0,2415.0,self,46.0
88.0,87.0,88_87,1_before,89.0,0.0,2415.0,other,46.0
87.0,88.0,88_87,2_before,90.0,0.0,2415.0,self,46.0
88.0,87.0,88_87,2_before,89.0,0.0,2415.0,other,46.0
87.0,88.0,88_87,3_before,90.0,0.0,2415.0,self,46.0
88.0,87.0,88_87,3_before,89.0,0.0,2415.0,other,46.0
87.0,88.0,88_87,1_after,90.0,0.0,2415.0,self,46.0
88.0,87.0,88_87,1_after,89.0,0.0,2415.0,other,46.0
87.0,88.0,88_87,2_after,90.0,0.0,2415.0,self,46.0
88.0,87.0,88_87,2_after,89.0,0.0,2415.0,other,46.0
87.0,88.0,88_87,3_after,90.0,0.0,2415.0,self,46.0
88.0,87.0,88_87,3_after,89.0,0.0,2415.0,other,46.0
87.0,88.0,88_87,long_gap,90.0,0.0,2459.0,self,78.0
88.0,87.0,88_87,long_gap,93.0,0.0,2459.0,other,78.0
87.0,88.0,88_87,1_before,90.0,0.0,2459.0,self,78.0
88.0,87.0,88_87,1_before,93.0,0.0,2459.0,other,78.0
87.0,88.0,88_87,2_before,90.0,0.0,2459.0,self,78.0
88.0,87.0,88_87,2_before,93.0,0.0,2459.0,other,78.0
87.0,88.0,88_87,3_before,90.0,0.0,2459.0,self,78.0
88.0,87.0,88_87,3_before,93.0,0.0,2459.0,other,78.0
87.0,88.0,88_87,1_after,90.0,0.0,2459.0,self,78.0
88.0,87.0,88_87,1_after,93.0,0.0,2459.0,other,78.0
87.0,88.0,88_87,2_after,90.0,0.0,2459.0,self,78.0
88.0,87.0,88_87,2_after,93.0,0.0,2459.0,other,78.0
87.0,88.0,88_87,3_after,90.0,0.0,2459.0,self,78.0
88.0,87.0,88_87,3_after,93.0,0.0,2459.0,other,78.0
41.0,46.0,41_46,long_gap,23.0,0.0,2057.0,self,94.0
46.0,41.0,41_46,long_gap,37.04761904761905,0.0,2057.0,other,94.0
41.0,46.0,41_46,1_before,23.0,0.0,2057.0,self,94.0
46.0,41.0,41_46,1_before,37.0,-0.047619047619051,2057.0,other,94.0
41.0,46.0,41_46,2_before,23.0,0.0,2057.0,self,94.0
46.0,41.0,41_46,2_before,37.0,-0.047619047619051,2057.0,other,94.0
41.0,46.0,41_46,3_before,23.0,0.0,2057.0,self,94.0
46.0,41.0,41_46,3_before,37.0,-0.047619047619051,2057.0,other,94.0
41.0,46.0,41_46,1_after,23.0,0.0,2057.0,self,94.0
46.0,41.0,41_46,1_after,38.0,0.952380952380949,2057.0,other,94.0
41.0,46.0,41_46,2_after,23.0,0.0,2057.0,self,94.0
46.0,41.0,41_46,2_after,38.0,0.952380952380949,2057.0,other,94.0
41.0,46.0,41_46,3_after,23.0,0.0,2057.0,self,94.0
46.0,41.0,41_46,3_after,38.0,0.952380952380949,2057.0,other,94.0
41.0,46.0,41_46,long_gap,27.0,0.0,3849.0,other,119.0
46.0,41.0,41_46,long_gap,35.0,0.0,3849.0,self,119.0
41.0,46.0,41_46,1_before,27.0,0.0,3849.0,other,119.0
46.0,41.0,41_46,1_before,35.0,0.0,3849.0,self,119.0
41.0,46.0,41_46,2_before,27.0,0.0,3849.0,other,119.0
46.0,41.0,41_46,2_before,35.0,0.0,3849.0,self,119.0
41.0,46.0,41_46,3_before,27.0,0.0,3849.0,other,119.0
46.0,41.0,41_46,3_before,35.0,0.0,3849.0,self,119.0
41.0,46.0,41_46,1_after,27.0,0.0,3849.0,other,119.0
46.0,41.0,41_46,1_after,35.0,0.0,3849.0,self,119.0
41.0,46.0,41_46,2_after,27.0,0.0,3849.0,other,119.0
46.0,41.0,41_46,2_after,35.0,0.0,3849.0,self,119.0
41.0,46.0,41_46,3_after,27.0,0.0,3849.0,other,119.0
46.0,41.0,41_46,3_after,35.0,0.0,3849.0,self,119.0
60.0,63.0,60_63,long_gap,92.18181818181819,0.0,2127.0,self,36.0
63.0,60.0,60_63,long_gap,69.0,0.0,2127.0,other,36.0
60.0,63.0,60_63,1_before,94.0,1.818181818181813,2127.0,self,36.0
63.0,60.0,60_63,1_before,69.0,0.0,2127.0,other,36.0
60.0,63.0,60_63,2_before,94.0,1.818181818181813,2127.0,self,36.0
63.0,60.0,60_63,2_before,69.0,0.0,2127.0,other,36.0
60.0,63.0,60_63,3_before,93.0,0.818181818181813,2127.0,self,36.0
63.0,60.0,60_63,3_before,68.25,-0.75,2127.0,other,36.0
60.0,63.0,60_63,1_after,86.7,-5.481818181818184,2127.0,self,36.0
63.0,60.0,60_63,1_after,69.0,0.0,2127.0,other,36.0
60.0,63.0,60_63,2_after,85.0,-7.181818181818187,2127.0,self,36.0
63.0,60.0,60_63,2_after,69.0,0.0,2127.0,other,36.0
60.0,63.0,60_63,3_after,85.0,-7.181818181818187,2127.0,self,36.0
63.0,60.0,60_63,3_after,69.0,0.0,2127.0,other,36.0
102.0,106.0,102_106,long_gap,61.0,0.0,2555.0,self,50.0
106.0,102.0,102_106,long_gap,50.0,0.0,2555.0,other,50.0
102.0,106.0,102_106,1_before,61.0,0.0,2555.0,self,50.0
106.0,102.0,102_106,1_before,50.0,0.0,2555.0,other,50.0
102.0,106.0,102_106,2_before,61.0,0.0,2555.0,self,50.0
106.0,102.0,102_106,2_before,50.0,0.0,2555.0,other,50.0
102.0,106.0,102_106,3_before,61.0,0.0,2555.0,self,50.0
106.0,102.0,102_106,3_before,50.0,0.0,2555.0,other,50.0
102.0,106.0,102_106,1_after,61.0,0.0,2555.0,self,50.0
106.0,102.0,102_106,1_after,50.0,0.0,2555.0,other,50.0
102.0,106.0,102_106,2_after,61.0,0.0,2555.0,self,50.0
106.0,102.0,102_106,2_after,50.0,0.0,2555.0,other,50.0
102.0,106.0,102_106,3_after,61.0,0.0,2555.0,self,50.0
106.0,102.0,102_106,3_after,50.0,0.0,2555.0,other,50.0
102.0,106.0,102_106,long_gap,70.0,0.0,2174.0,other,67.0
106.0,102.0,102_106,long_gap,49.0,0.0,2174.0,self,67.0
102.0,106.0,102_106,1_before,70.0,0.0,2174.0,other,67.0
106.0,102.0,102_106,1_before,49.0,0.0,2174.0,self,67.0
102.0,106.0,102_106,2_before,70.0,0.0,2174.0,other,67.0
106.0,102.0,102_106,2_before,49.0,0.0,2174.0,self,67.0
102.0,106.0,102_106,3_before,70.0,0.0,2174.0,other,67.0
106.0,102.0,102_106,3_before,49.0,0.0,2174.0,self,67.0
102.0,106.0,102_106,1_after,70.0,0.0,2174.0,other,67.0
106.0,102.0,102_106,1_after,49.0,0.0,2174.0,self,67.0
102.0,106.0,102_106,2_after,70.0,0.0,2174.0,other,67.0
106.0,102.0,102_106,2_after,49.0,0.0,2174.0,self,67.0
102.0,106.0,102_106,3_after,70.0,0.0,2174.0,other,67.0
106.0,102.0,102_106,3_after,49.0,0.0,2174.0,self,67.0
102.0,106.0,102_106,long_gap,70.0,0.0,2303.0,other,77.0
106.0,102.0,102_106,long_gap,49.0,0.0,2303.0,self,77.0
